trainingPartnerId,applicationId,trainingPartnerName,
NSDC-REGNo-11999,,Poddar Management & Training Institute,","
NSDC-REGNo-16086,,PPG Institute of Technology,","
NSDC-REGNo-15784,,Pt. Ravishankar Shukla University,","
NSDC-REGNo-15746,,R.V. College of Engineering,","
NSDC-REGNo-15876,,Renewable Energy Centre- Mithradham,","
NSDC-REGNo-16026,,RKDF University,","
NSDC-REGNo-16112,,Roorkee Engineering & Management Technology Institute,","
NSDC-REGNo-13904,,ROYAL INSTITUTE OF FIRE & SAFETY,","
NSDC-REGNo-8936,,Saltlake Institute of Engineering (IEM),","
NSDC-REGNo-15503,,SBS Institute for Training of Trainers,","
NSDC-REGNo-15770,,SDM Society,","
NSDC-REGNo-15747,,Sharda Vihar Jankalayan Samiti,","
NSDC-REGNo-15781,,Shri Damaram Memorial Shikshan Avm Prasikshan Sansthan,","
NSDC-REGNo-14406,,Shri Dharamsthala Manjunateshwara College of Engineering & Technology,","
NSDC-REGNo-15522,,Shri Lal Bahadur Shastri Research & Training Institute,","
NSDC-REGNo-12924,,Silver Oak College of Engineering & Technology,","
NSDC-REGNo-6452,,SMARTBRAINS ENGINEERS AND TECHNOLOGIST PVT. LTD.,","
NSDC-REGNo-14281,,SR Corporate Consultant Private Ltd,","
NSDC-REGNo-15773,,Sri Eshwar College of Engineering,","
NSDC-REGNo-14280,,Surabhi Educational Society,","
NSDC-REGNo-11801,,SWATIRTHA CHARITABLE TRUST,","
NSDC-REGNo-15269,,SwitchON,","
NSDC-REGNo-15748,,Synergy Institute of Technology,","
NSDC-REGNo-14405,,Tamil Nadu Advanced Technical Training Institute,","
NSDC-REGNo-15850,,TAMILNADU AGRICULTURAL UNIVERSITY,","
NSDC-REGNo-12286,,TATA Strive - Tata Community Initiative Trust,","
NSDC-REGNo-15953,,Technology Informatics Design Endeavour (TIDE),","
NSDC-REGNo-15776,,The Energy and Resource Institute,","
NSDC-REGNo-15500,,The Gandhigram Rural Institute,","
NSDC-REGNo-15816,,The Institution of Engineers (India),","
NSDC-REGNo-15749,,The Muslim Educational Society,","
NSDC-REGNo-13592,,TUV Rheinland India Pvt. Ltd.,","
NSDC-REGNo-1762,,Ultimate Energy Resource Private Limited,","
NSDC-REGNo-13045,,University of Lucknow,","
NSDC-REGNo-12564,,Vision World Tech Pvt Ltd,","
NSDC-REGNo-15965,,Vivekananda Global University,","
PMKVY_136,,Aaruthal Foundation,","
PMKVY_86,,AISECT Skills Mission,","
PMKVY_383,,Anuna Education Network Pvt. Ltd.,","
PMKVY_7,,ASPIRE DISRUPTIVE SKILL FOUNDATION,","
PMKVY_736,,C Dots Educational Society,","
PMKVY_11,,Datapro Computers Private Limited,","
PMKVY_341,,Deep Training Institute Pvt. Ltd.,","
PMKVY_474,,Disha Shikshan And Samaj Kalyan Samiti,","
PMKVY_215,,EARTH & MOON HR PRIVATE LIMITED,","
PMKVY_63,,Group Media Pvt Ltd,","
PMKVY_1466,,Hope Ever Foundation Charitable Trust,","
PMKVY_626,,ICA EDU SKILLS PVT LTD,","
PMKVY_18,,IL & FS Skills Development Corporation Limited,","
PMKVY_449,,ILEAD FOUNDATION,","
PMKVY_181,,INDIAN INSTITUTE OF HIGHER EDUCATION & RESEARCH TRUST,","
PMKVY_1116,,Mahamritunjay Trade And Technologies Private Limited,","
PMKVY_45,,Mahendra Skills Training & Development Pvt. Ltd.,","
PMKVY_70,,Mosaic Network Pvt Ltd,","
PMKVY_374,,NALANDA EDUCATIONAL SOCIETY,","
PMKVY_25,,Orion Edutech Private Limited,","
PMKVY_76,,Quivan Skill Empowerment Pvt. Ltd.,","
PMKVY_435,,Shree Kalka Devi Education Trust,","
PMKVY_858,,Shri Prahaladdasji Pasari Smrati Charity Trust,","
PMKVY_302,,Skills India Foundation,","
PMKVY_29,,Skills Root Edu Tech Consulting India Private Limited,","
PMKVY_91,,SmartBrains Engineers & Technologist Pvt. Ltd.,","
PMKVY_78,,Society for Education and Enviornmental Training (SEET)oth,","
PMKVY_395,,SRI KALPATARU GYANJYOTI TRUST,","
PMKVY_166,,SRI SRI RURAL DEVELOPMENT PROGRAMME TRUST,","
PMKVY_41,,SWACA,","
PMKVY_371,,Swami Ambrish Chetanya Sewa Samiti,","
PMKVY_51,,SynchroServe Global Solutions Private Limited,","
PMKVY_128,,TRANSFORMING SKILLS,","
PMKVY_273,,Ultimate Energy Resource Private Limited,","
PMKVY_131,,Vidyaam Skills & Technology Services Pvt Ltd,","
